,ifsc_code,bank_id,bank_name,branch,addres,city,district,state
8086,ICIC0006087,8,ICICI BANK LIMITED,MANNARGUDI,THIRUVARUR DIST,MANNARGUDI,THIRUVARUR,TAMIL NADU
8131,ICIC0006285,8,ICICI BANK LIMITED,MEERUT┬á,MEERUT┬á,MEERUT,MEERUT,UTTAR PRADESH
8384,ICIC0006855,8,ICICI BANK LIMITED,BARAN,"MAIN BAZAR,BARAN-325205",BARAN,BARAN,RAJASTHAN
40790,ICIC0006689,8,ICICI BANK LIMITED,POTLAN,"POTLAN-311810,GANGAPUR TALUKA",POTLAN,BHILWARA,RAJASTHAN
41269,ICIC0006802,8,ICICI BANK LIMITED,ABU ROAD,"SADAR BAZAR,ABU ROAD,TEH.ABU ROAD,307026",ABU ROAD,SIROHI,RAJASTHAN
41316,ICIC0006925,8,ICICI BANK LIMITED,SALUMBER,"SALUMBAR,PIN-313027,SALUMBAR TEHSIL",SALUMBAR,UDAIPUR,RAJASTHAN
41872,ICIC0006926,8,ICICI BANK LIMITED,SHERGARH,"SHERGARH,TEH.BAGIDORA,327001",SHERGARH,BANSWARA,RAJASTHAN
42049,ICIC0006927,8,ICICI BANK LIMITED,SURPUR,"SURPUR,TEH.BANSWARA,327001",SURPUR,BANSWARA,RAJASTHAN
42183,ICIC0006928,8,ICICI BANK LIMITED,TAMBESARA,"TAMBESARA,TEH.KUSHALGARH,327602",TAMBESARA,BANSWARA,RAJASTHAN
45968,ICIC0000179,8,ICICI BANK LIMITED,GIDC CROSS ROAD  VAPI┬á,VAPI┬á,VAPI,VALSAD,GUJARAT
46086,ICIC0000001,8,ICICI BANK LIMITED,CHENNAI - CENOTAPH ROAD┬á,"1, CENOTAPH ROAD, CHENNAI.┬á",CHENNAI,CHENNAI,TAMIL NADU
46087,ICIC0000002,8,ICICI BANK LIMITED,BANGALORE - M G ROAD┬á,"ICICI BANK TOWERS, 1, COMMISSARIAT ROAD, GROUND FLOOR, BANGALORE┬á560025.┬á",BANGALORE,BANGALORE URBAN,KARNATAKA
46088,ICIC0000003,8,ICICI BANK LIMITED,VADODARA┬á,"ICICI BANK LANDMARK BUILDING, RACE COURSE CIRCLE, ALKAPURI, VADODARA.┬á390007┬á",VADODARA,VADODARA,GUJARAT
46089,ICIC0000004,8,ICICI BANK LIMITED,MUMBAI - NARIMAN POINT┬á,"215, FREE PRESS HOUSE, FREE PRESS MARG, NARIMAN POINT, MUMBAI.┬á 400021┬á",MUMBAI,GREATER MUMBAI,MAHARASHTRA
46090,ICIC0000005,8,ICICI BANK LIMITED,PUNE - BUND GARDEN┬á,"ICICI BANK A-WING, SHANGRILA GARDENS, BUND GARDEN ROAD, PUNE.┬á 411001┬á",PUNE,PUNE,MAHARASHTRA
46091,ICIC0000006,8,ICICI BANK LIMITED,KOLKATA - R N MUKHERJEE,"20, R N MUKHERJEE ROAD, KOLKATA.┬á700001┬á",KOLKATA,KOLKATA,WEST BENGAL
46092,ICIC0000007,8,ICICI BANK LIMITED,NEW DELHI - CONNAUGHT PLACE┬á,"9A, PHELPS BUILDING, CONNAUGHT PLACE, NEW DELHI.┬á110001┬á",DELHI,DELHI,DELHI
46093,ICIC0000008,8,ICICI BANK LIMITED,CIBD HYDERABAD,"ICICI BANK TOWERS, CIBD, LEVEL 1, WAST WING, 1-11-256, STREET NO. 1, BEGUMPET, HYDERABAD.┬á500016┬á",HYDERABAD,HYDERABAD,ANDHRA PRADESH
46094,ICIC0000009,8,ICICI BANK LIMITED,CHENNAI - NUNGAMBAKKAM┬á,"110, PRAKASH PRESIDIUM, UTHAMAR GANDHI SALAI, (NUNGAMBAKKAM HIGH ROAD), CHENNAI.┬á600034┬á",CHENNAI,CHENNAI,TAMIL NADU
46095,ICIC0000010,8,ICICI BANK LIMITED,ERNAKULAM (COCHIN)┬á,ERNAKULAM,ERNAKULAM,ERNAKULAM,KERALA
46096,ICIC0000011,8,ICICI BANK LIMITED,MUMBAI - ANDHERI┬á,"SAGAR AVENUE, GROUND FLOOR, OPP. SHOPPERS STOP, S.V. ROAD, ANDHERI (W), MUMBAI.┬á400058┬á",MUMBAI,GREATER BOMBAY,MAHARASHTRA
46097,ICIC0000012,8,ICICI BANK LIMITED,JAIPUR┬á,"C-99, SHREEJI TOWERS, SUBHASH MARG, NEAR AHIMSA CIRCLE, C SCHEME, JAIPUR.┬á302001┬á",JAIPUR,JAIPUR,RAJASTHAN
46098,ICIC0000013,8,ICICI BANK LIMITED,CHANDIGARH - SECTOR 9C┬á,"SCO 9-10-11, SECTOR 9-D. CHANDIGARH┬á160017┬á",CHANDIGARH,CHANDIGARH,CHANDIGARH
46099,ICIC0000014,8,ICICI BANK LIMITED,MANGALORE┬á,"ICICI BANK GROUND FLOOR, BHARATH BUILDING, POST BOX NO. 44, PANJE MANGESH RAO ROAD, MANGALORE.┬á 575001┬á",MANGALORE,DAKSHIN KANNAD,KARNATAKA
46100,ICIC0000015,8,ICICI BANK LIMITED,PANAJI┬á,"65, SINDUR BUSINESS CENTRE, SWAMI VIVEKANAND ROAD,┬á┬áPANAJI┬á403001┬áGOA┬á",PANAJI,NORTH GOA,GOA
46101,ICIC0000016,8,ICICI BANK LIMITED,COIMBATORE - TRICHY ROAD┬á,"ICICI BANK CHERAN PLAZA, 1090, TRICHY ROAD, COIMBATORE.┬á641018┬á",COIMBATORE,COIMBATORE,TAMIL NADU
46102,ICIC0000017,8,ICICI BANK LIMITED,LUDHIANA - FEROZE GANDHI MARKET CIBD┬á,"ICICI BANK LTD., NEHRU SIDHANT KENDER TRUST BUILDING, FEROZ GANDHI MARKET, LUDHIANA - 141001, PUNJAB",LUDHIANA,LUDHIANA,PUNJAB
46103,ICIC0000018,8,ICICI BANK LIMITED,MUMBAI - BORIVALI┬á,"ABHILASHA-1, PUNJABI LANE, BORIVALI (W), MUMBAI.┬á400092┬á",MUMBAI,GREATER BOMBAY,MAHARASHTRA
46104,ICIC0000019,8,ICICI BANK LIMITED,THANE - MIRA ROAD┬á,"SURYA SHOPPING CENTRE, SECTOR 5, SHRISHTI RESIDENTIAL COMPLEX, MIRA ROAD (E), THANE.┬á401104┬á",THANE,THANE,MAHARASHTRA
46105,ICIC0000020,8,ICICI BANK LIMITED,MUMBAI - POWAI┬á,"GALLERIA SHOPPING MALL, HIRANANDANI GARDENS, POWAI, MUMBAI.┬á400076┬á",MUMBAI,GREATER BOMBAY,MAHARASHTRA
